question,answers
what is the impact of over-fertilization.,"excessive vegetative growth, lodging, and reduced yield"
what is organic farming?,"method of crop production that emphasizes the use of natural and sustainable practices, such as crop rotation, composting, and biological pest control"
"what conditions can accelerate the breakdown of active ingredients in pesticides, reducing their effectiveness","extreme temperatures, moisture, and sunlight"
What are windmills used for?,to generate power and grind wheat since ancient times
What are some of the methods that farmers in Uganda use to control armyworms?,"early detection, biological control, chemical control, crop rotation, and cultural control"
name any insecticides that can be used on cassava beetles.,neem oil or pyrethroids
What are the symptoms of cassava mosaic,"Leaves leaves become distorted and yellow, Poor formation of tubers, The plants is stumted, Mosaic mottling,mishapen and twisted leaflets and reduction in size of leaves"
"Is buying organic food better for the environment than buying food
produced conventionally?
","Ultimately, environmental sustainability comes down to the farmer, whether they produce goods organically or conventionally."
name one plant that uses C4 carbon fixation.,maize 
which insects are known to transmit maize streak virus from one maize plant to another.,Cicadulina species
which genetical method are researchers are exploring to control whitefly., RNA interference (RNAi)
what is Mulching.,"Applying a layer of organic material such as leaves, straw or grass clippings on top of the soil can help retain moisture, prevent erosion, and add organic matter to the soil as it breaks down."
what are some of the challenges faced by S. exempta.,"predators, parasites, parasitoids, diseases, and viruses"
why is DAP used in planting maize.,"is a phosphorus-rich fertilizer that also contains nitrogen. It is often used as a basal or pre-planting fertilizer for maize, as it promotes root development and helps the plants establish quickly. However, it may not provide adequate amounts of potassium and other micronutrients that maize needs for optimal growth."
which nutrients are present in farmyard manure.,"nitrogen, phosphorus, and potassium,"
what are some of the technologies used by farmers in maize production.," improved seeds like hybrid and open pollinated varieties, timely planting, proper spacing and timely weeding and harvesting"
what is  irrigation.,the application of water to crops to supplement natural rainfall and ensure healthy plant growth
What bean variety fetch high price on market?,"Kidney beans (Phaseolus vulgaris): They are large, kidney-shaped beans with a smooth texture and a rich, meaty flavor. They are often used in chili, soups, and stews.

Black beans (Phaseolus vulgaris): These beans have a dense, creamy texture and a slightly sweet, earthy flavor. They are commonly used in Latin American and Caribbean cuisine.

Pinto beans (Phaseolus vulgaris): They are medium-sized beans with a speckled appearance and a creamy texture. Pinto beans are popular in Mexican and Southwestern cuisine.

Navy beans (Phaseolus vulgaris): These small, white beans have a mild flavor and a smooth texture. They are often used in baked beans and soups.

Cannellini beans (Phaseolus vulgaris): These Italian white beans have a creamy texture and a mild, nutty flavor. They are commonly used in Mediterranean dishes."
does harvesting maize early before its dried causes mycotoxin contamination?,"Maize that is harvested before it is fully dried is at a higher risk of mycotoxin contamination, which can pose health risks to both humans and animals if consumed."
What is rouging.,"Removal of plants which are diseased or not of the desired type contaminants to purify and
clean the stock,"
how can farmers address yellowing of beans.,"Check the nutrient levels in the soil and supplement with appropriate fertilizers if necessary.
Adjust the soil pH if it is outside the optimal range for beans.
Ensure proper watering, providing consistent moisture without waterlogging the plants.
Monitor for pest and disease infestations and take appropriate control measures if needed.
Protect the plants from extreme weather conditions by providing shade or shelter if possible.
If the problem persists or worsens, it may be helpful to consult with a local agricultural extension service or a plant specialist who can provide specific advice based on your location and growing conditions."
Name one breed of a horse,ponies
name working animals that have been used to cultivate fields.,"horses, mules, oxen, water buffalo, camels, llamas, alpacas, donkeys, and dogs"
How best can picks bags store maize grains for a long period of time?,"PICS (Purdue Improved Crop Storage) bags are specially designed storage bags that can help farmers store maize grains for a long period of time, up to 2-3 years, without using any chemicals"
what are the sustainable approaches to cassava disease management?,breeding disease-resistant varieties and using natural pest control methods.
How is technology in agriculture changing?,Tractor technology is changing! Auto?steer and GPS (global positioning systems) help make farming more efficient. Tractor technology is also helping the environment. 
why should the ridges be labelled?, to ensure uniform planting depth and spacing
what is Land transformation.,the use of land to yield goods and services
what are the symptoms of cassava mosaic disease.,"ellowing and mosaic patterns on the leaves, stunted growth, and reduced tuber yield"
name any other way of storing cassava.,Use proper containers
what kind of practices are used for crop protection?," use of pesticides, fungicides, and other chemicals, as well as cultural practices"
what are the benefits of crop domestication.," increased yield, improved disease resistance and drought tolerance, eased harvest and improved the taste and nutritional value of crop plants"
what is physical dormancy?,"occurs when the seed coat is impermeable to water and gases, preventing the embryo from absorbing water and initiating germination."
how do ranchers administer antibiotics?,according to the instructions on the label and under the direction of a veterinarian
name other ways a farmer can use to control CBSD.,Planting resistant varieties
which nutrients are required for high yield in cassava.,"nitrogen, phosphorus, and potassium"
why is gregaria phase dangerous to crops.,because the black-bodied caterpillars are more active and densely concentrated than solitaria caterpillars
what is Cassava Anthracnose Disease (CAD) .,is a fungal disease that affects cassava plants.
"which crop is the crop most often used for silage.
",corn 
why is soil health vital?,"Soil health is critical to crop growth and productivity, as it provides the necessary nutrients and support for plants to thrive."
what causes plant diseases?,"variety of pathogens, including fungi, bacteria, viruses, and nematodes"
what type of soil can cause cassava plant to die prematurely.,"soil with high salinity or acidity, can cause the plants to dry out and die prematurely"
what is the required depth of planting cassava.,about 5 to 7 centimeters
What farming practices destroy soil nutrient,"Overuse of synthetic fertilizers: Excessive use of synthetic fertilizers can result in soil acidification and nutrient imbalances, which can reduce soil fertility and productivity over time."
What is rouging.,"Removal of plants which are diseased or not of the desired type contaminants to purify and
clean the stock,"
"To ensure the longevity and effectiveness of pesticides, what guidelines should be followed by farmers.","Keep containers tightly sealed: Properly seal the containers to prevent leakage and evaporation of the pesticide.

Separate from food and feed: Store pesticides away from areas where food, animal feed, or drinking water are stored to prevent contamination.

Follow expiration dates: Pesticides have an expiration date indicated on the label. Use them before the expiration date to ensure their effectiveness.

Handle with care: When handling pesticides, follow the safety instructions on the label, wear appropriate protective gear, and avoid inhaling or contacting the chemicals."
What fertilizer is recommended for planting maize by researchers?,"NPK (Nitrogen-Phosphorus-Potassium) and DAP (Diammonium Phosphate) are good fertilizers for planting maize, as they both provide essential nutrients that maize needs for optimal growth and development."
what food nutrients do we get from milled maize.," dietary fiber, protein, and essential nutrients such as thiamine, niacin, and folate."
what is the required soil PH for potatoes.,between 4.8 and 5.5
give two cultural crop protection practices.,crop rotation and intercropping.
what is the required depth of planting cassava.,about 5 to 7 centimeters
Poor irrigation leads to?,"waterlogging, soil salinization, and other negative environmental consequences."
why are farmers advisable to leave bean stalk in the garden.,". Bean stalks are rich in nutrients and organic material, which can contribute to improving soil fertility and structure. When the bean stalks decompose, they release nutrients back into the soil, making them available for the next crop."
define genetic engineering.,This involves inserting genes from other organisms into maize plants to create new varieties with desirable traits such as resistance to pests or diseases.
Name factors that causes seed dormancy," mechanical barriers, chemical inhibitors, immature embryos, scarification requirements, and environmental cues"
which other techniques can help preserve quality of beans?,The use of hermetic storage bags or containers
"If a farm is large, does that mean it is a corporate farm?","Just because a farm is large in number of acres, does not mean it is a corporate farm"
which nutrient is leguminous crops high in?,nitrogen 
what is irrigation?,Irrigation is the process of applying water to crops in order to help them grow
what is the importance of drying seeds in relation to facilitating efficient storage and handling.," Dried seeds are easier to handle, store, and transport compared to seeds with higher moisture content. Lower moisture levels reduce the likelihood of seed clumping, mold formation, and damage during storage. Dry seeds also tend to have better flowability, making it easier to measure, package, and distribute them."
why should farmers intercrop maize with beans.,"Maize and beans are commonly intercropped in Kiboga because they have complementary nutrient requirements and growth habits. Beans can fix nitrogen from the atmosphere, which can benefit the maize crop."
what is top side dressing?, refers to the application of fertilizers on the soil surface around the base of the plants after they have been established
name any one example of compound fertilizers.,10-20-10 or 14-14-14
How can Rogueing be used to control CBSD.,Infected plants should be identified and removed from the field to prevent the disease from spreading
which grass species  harbor leafhoppers,"Setaria barbata (Lam.) Kunth and Brachiaria lata (Schumach) Hubbard, "
what can happen to maize that is harvested before it is fully dried.,"may not store well, as the moisture content is higher and the grain is more prone to spoilage and insect damage."
what type of fertilizers are made from chemical?,synthetic fertilizers
how can a farmer regularly monitor for cassava beetles.,"regularly monitor the crop for signs of infestation, such as wilting or yellowing of leaves, and take appropriate measures to prevent or control the pests"
why do farmers to use chemicals,"to control weeds and insects and to produce increased amounts of vegetables, milk, or eggs"
what are some of the disease prevention strategies that farmers can use.,"vaccination programs, quarantine protocols, and biosecurity measures"
why should cassava not be stack too high.,the weight of the tubers can cause them to crush and spoil.
state the difference between fresh and dry maize in terms of glycemic index.,"Fresh maize has a higher glycemic index than dry maize, which means it can cause a more rapid increase in blood sugar levels. Dry maize, on the other hand, has a lower glycemic index and is a better choice for people with diabetes or those watching their blood sugar levels."
where do armyworms lay their eggs., clusters on the lower side of leaves
what cultural methods are involved when eradicating whiteflies.,"Cultural control methods involve practices such as crop rotation, sanitation, and the use of reflective mulches, which can help to reduce whitefly populations by creating unfavorable conditions for their growth and reproduction."
"What is the difference between cloning and genetic modification (GM)?
",Genetic modification and cloning are not the same. Cloning provides an exact copy. Cloned genes can only be copied in the same species. Genetic modification (genetic engineering) something scientists do to pick out a specific set of genes and place these genes in an organism where the traits would be helpful
name two commonly used nitrogen-based fertilizers that can be applied 4-6 weeks after germination.,"Urea: Urea is a widely used nitrogen fertilizer that contains a high concentration of nitrogen. It is typically applied in granular form and can be broadcasted or applied as a side-dressing around the base of the plants. Urea is readily available to plants and helps promote vigorous growth and greening.

Ammonium Nitrate: Ammonium nitrate is another nitrogen-based fertilizer that provides a quick-release source of nitrogen. It is commonly used for top-dressing or side-dressing application in the early stages of crop growth. Ammonium nitrate delivers nitrogen rapidly to the plants, stimulating growth and improving overall plant health."
which population is vulnerable  in agriculture.,Ages 0�6
What cultural methods are good in controlling soil erosion in maize gardens especially in hilly areas of kigezi? ,"Constructing contour terraces on slopes helps to slow down the flow of water, reducing erosion. Terraces are level or slightly sloping strips of land that follow the contour lines of the hillside. They are built with raised ridges of soil and suitable vegetation to trap water and prevent soil from being washed away."
What is the best time of year to plant soybeans in the Midwest?, between late April and mid-May
how can farmers benefit from farmers organization,"Knowledge and information sharing: Farming organizations often serve as platforms for knowledge and information exchange among farmers. They provide access to training programs, workshops, seminars, and demonstrations on various agricultural practices, technologies, and market trends. This helps farmers stay updated on the latest farming techniques, best practices, and innovations, enabling them to improve their skills and productivity.

Collective bargaining power: By joining together in a farming organization, farmers can collectively negotiate better prices for their produce and access to inputs, such as seeds, fertilizers, and machinery. The organization can act as a unified voice, representing the interests and concerns of farmers to government authorities, agribusinesses, and other stakeholders, leading to improved market access and fairer trade terms.

Access to financial resources: Farming organizations can facilitate access to credit and financial resources for farmers. They may partner with financial institutions or develop their own revolving funds to provide affordable loans, savings schemes, and insurance products tailored to farmers' needs. This helps farmers overcome financial constraints, invest in their farms, and manage risks associated with farming.

Market linkages and value addition: Farming organizations can establish market linkages and connect farmers with potential buyers, processors, and exporters. They may engage in collective marketing initiatives, bulk sales, or value addition activities, such as processing and packaging, to enhance the marketability and profitability of farmers' produce. This can lead to better market prices, increased income, and improved market access for farmers.

Advocacy and representation: Farming organizations often engage in advocacy and policy dialogue on behalf of farmers. They can influence agricultural policies, regulations, and practices to create a favorable enabling environment for farming. By representing farmers' interests, they can address challenges, promote sustainable farming practices, and advocate for policies that support the growth and development of the agricultural sector.

Networking and collaboration: Being part of a farming organization allows farmers to network and collaborate with peers, experts, researchers, and other stakeholders in the agricultural sector. This fosters learning, collaboration, and innovation, as farmers can share experiences, exchange ideas, and collaborate on research, projects, and initiatives that benefit the farming community as a whole."
The primary macronutrients are?," nitrogen (N), phosphorus (P), and potassium (K), which are typically present in fertilizers in the form of NPK ratios"
what factors should be considered to determine the exact number of cuttings needed for your specific planting,"The spacing between cassava plants can vary depending on the desired plant density and the specific variety being grown. Common spacing ranges from 1 meter by 1 meter to 1.2 meters by 1.2 meters. Calculate the number of plants per hectare based on the chosen spacing.

Planting method: Cassava can be planted directly in the field using single-stem cuttings or multiple-node stem cuttings. The number of cuttings required may vary depending on the planting method and the length of the cuttings."
what is the advantages of single stem planting method.,This method is easy and requires less labor and is suitable for small-scale farmers with limited resources
name Spodoptera exempta species that have chisel-like mandibels.," S. triturata, S. m. mauritia, S. m. acronyctoides, S. umbraculata, S. cilium, Spodoptera depravata [sv], and S. pecten"
where area is  shifting cultivation done.,"This type of farming is practiced mainly in areas with abundant rainfall where the forest regenerates quickly. This practice is used in Northeast India, Southeast Asia, and the Amazon Basin."
What bean variety has early maturity  and how many days?,NARO Case 1
what is cassava mosaic disease.,"This is a viral disease that causes yellowing and mottling of the leaves, stunted growth, and reduced yield"
name one legume that can be intercropped with maize in kiboga.,Groundnuts 
"what is cassava mealybug
",is a small sap-sucking insect that feeds on the cassava plant
what is thiram?,Thiram is a fungicide and insecticide that is often applied as a powder or liquid to the surface of seeds to protect them from fungal and insect pests during germination and early growth stages.
which other way can farmers control soil borne diseases.," Incorporate organic matter such as compost and manure into the soil to improve soil structure and reduce soilborne disease buildup.
"
which year was Apple farming introduced in Uganda?,1999
when do primary outbreaks occurs?,"occur with relatively inconspicuous, low-density populations that can survive without frequent rainfal"
 can delaying weeding cassava cause cassava mosaic,"Delaying weeding in cassava fields can create favorable conditions for the spread of Cassava Mosaic Disease (CMD). Weeds can act as alternative hosts for the whiteflies that transmit the virus responsible for CMD. When weeds are left to grow and multiply in the cassava field, they can attract whiteflies and serve as a reservoir for the virus. These whiteflies can then spread the virus to the cassava plants, leading to infection and the development of mosaic symptoms."
Name the crops that can be successfully grown in sandy soil,"Sweet potatoes
Carrots
Peppers
Tomatoes
Watermelons
Pineapples
Cucumbers
Okra"
which maize disease survive well in warm and humid weather.,Gray leaf spot
which cassava variety is mainly grown in Thailand.,M Col 22
How can Tillage improve productivity.,"warming the soil, incorporating fertilizer and controlling weeds, but also renders soil more prone to erosion, triggers the decomposition of organic matter releasing CO2, and reduces the abundance and diversity of soil organisms."
which bean variety is suitable for areas with heavy rainfall.,Mwezi Moja
How best can picks bags store maize grains for a long period of time?,"PICS (Purdue Improved Crop Storage) bags are specially designed storage bags that can help farmers store maize grains for a long period of time, up to 2-3 years, without using any chemicals"
what is the major cassava disease?,Cassava Mosaic Disease (CMD)
how do you space maize when planting.,when spacing maize it may solely depend on the variety of the maize taken up and or if an intercropping pattern is used on the maize field
which teso region districts are affected by drought.,"Amuria, Bukedea, Kaberamaido, Katakwi, Kumi, Ngora, Serere, and Soroti"
How does the combine harvester help farmers?,The combine harvester saves the farmers time and labor.
which nutrients are present in farmyard manure.,"nitrogen, phosphorus, and potassium,"
Why my beans are geminating with yellow leaves.,"Yellowing leaves can be a sign of nutrient deficiency, particularly nitrogen. Beans require an adequate supply of nitrogen for healthy growth. If the soil lacks nitrogen or other essential nutrients, it can result in yellowing leaves."
name agricultural products that belong to food classes.,"cereals (grains), vegetables, fruits, cooking oils, meat, milk, eggs, and fungi"
what is hay,"(dried grasses) to feed livestock (horses, cattle, sheep) during the winter when they cannot feed in green pastures"
name the disease that can cause the pods to become waterlogged and develop rot,pod rot diseases
Name examples of natural repellants.,"dried neem leaves, mint leaves, or tobacco leaves"
which other DK varieies are available in amolatar?,"DK 9093, DK 8073, and DK 8031"
Name the most common types of beans that are milled for human consumption.,"black beans, navy beans, and pinto beans"
what are natural fertilizers made of ?,"natural materials such as compost, manure, and bone meal"
"what are difference between Nase 14, Nase 3, and Nase 9 are different varieties of cassava.","Maturity period: Nase 14 is an early-maturing variety, typically reaching maturity in about 9-12 months after planting. Nase 3 and Nase 9 are mid-late maturing varieties, taking around 12-15 months to mature.

Yield potential: Nase 14 is known for its high yield potential, producing a good amount of cassava roots per unit area. Nase 3 and Nase 9 also have decent yield potential but may be slightly lower compared to Nase 14.

Pest and disease resistance: Nase 14 has shown good resistance to major pests and diseases that affect cassava, such as cassava mosaic disease and cassava bacterial blight. Nase 3 and Nase 9 also exhibit some level of resistance but may be relatively less resistant compared to Nase 14.

Root quality: The root qualities of these varieties may vary. Nase 14 is known for its relatively higher starch content, which is desirable for certain cassava-based products. Nase 3 and Nase 9 may have similar or slightly lower starch content but can still provide good quality roots.

Adaptability: These varieties have been bred to be adaptable to different agro-ecological zones. However, their specific adaptability may vary, and it is recommended to select the variety that suits the specific growing conditions of the area."
how is Cassava Anthracnose Disease (CAD)  spread?,"CAD is spread through infected planting material, contaminated soil, and water"
how can distinguish female from male,Females and males can be distinguished by the number of bristles on their frenulum
which countries in United States has fish farms,"California, Idaho, Alabama, Arkansas, Louisiana, Mississippi, and along the southeastern U.S. coast"
What is likely effects of not replacing new seeds every season?,"Not replacing new seeds every season can lead to a decrease in yield and quality of the crop. This is because the seeds may lose their vigor and genetic purity over time due to factors such as natural genetic drift, environmental stressors, and contamination from other varieties."
why whiteflies are able to multiply and spread so quickly,"Whiteflies have a high reproductive rate, with females capable of laying hundreds of eggs during their lifetime. These eggs hatch quickly, and the nymphs develop into adults in just a few weeks, allowing populations to increase rapidly."
how can a farmer overcomes physical seed dormancy.,by mechanical scarification
"which nutrient  is important for root development, flowering, and fruiting.",Phosphorus 
what is FDA,Food and Drug Administration
Which disease make maize leaves to turn yellow,Maize chlorotic mottle virus:
what are the effects of termites infestations.,"the presence of mud tubes or tunnels on the plant stems or nearby soil, and the appearance of swollen or distorted stems or roots. In severe cases, the entire plant may collapse or die."
Farmers always ask for climatic factors affecting agriculture,"Temperature influences plant growth and development. Different crops have specific temperature requirements for germination, growth, flowering, and fruiting. Extreme temperatures, such as frost or heatwaves, can damage crops and reduce yields."
list common signs of sucking pest.,"ellowing leaves, stunted growth, distorted leaves, and a general decline in plant health. Severe infestations can also cause wilting, defoliation, and even death of the plant."
"which beetle feed on the leaves of bean plants, causing holes and defoliation, which can reduce yields.",Bean leaf beetles (Cerotoma trifurcata)
name the types of irrigation.,"flood, furrow, drip, and sprinkler irrigation"
which type of cancer are high among agricultural workers.,"Leukemia, Non?Hodgkin lymphoma and skin cancer "
what type of soil can cause cassava plant to die prematurely.,"soil with high salinity or acidity, can cause the plants to dry out and die prematurely"
what is pest control.,"is the regulation or management of a species defined as a pest; such as any animal, plant or fungus that impacts adversely on human activities or environment"
How can agronomist overcome problems due to persistent use of fertilizers? ,"Regular soil testing helps determine the nutrient levels in the soil and allows for tailored fertilizer recommendations. Agronomists can assess the nutrient needs of specific crops and apply fertilizers accordingly, avoiding over-application. This helps maintain nutrient balance and prevents nutrient imbalances or excesses."
how does climate change affects agriculture.,"through changes in average temperatures, rainfall, and weather extremes (like storms and heat waves); changes in pests and diseases; changes in atmospheric carbon dioxide and ground-level ozone concentrations; changes in the nutritional quality of some foods; and changes in sea level"
what is photosynthesis.,the process by which plants convert sunlight into energy for growth.
How long should a farmer wait to plant cassava in a field which was affected by cbsd?,"Farmers should wait for at least 6 months to 1 year before planting cassava in a field that was affected by Cassava Brown Streak Disease (CBSD). This allows enough time for the virus to die off or decrease in the soil. During this period, the farmer should practice proper land preparation, including removing all cassava crop debris and weed the field to reduce the build-up of virus inoculum in the soil."
how do farmers control soil erosion.,farmers use conservation practices like planting cover crops in the winter or using conservation tillage practices
"Is buying organic food better for the environment than buying food
produced conventionally?
","Ultimately, environmental sustainability comes down to the farmer, whether they produce goods organically or conventionally."
in which phase is the armyworms species dangerous to crops., gregaria
define what GMO is?,"GMOs are crops that have been genetically modified to enhance their resistance to pests and diseases, as well as to improve their nutritional value and other characteristics"
which nutrients are provided by fertilizers?," nitrogen, phosphorus, and potassium"
which variety of maize has a hard outer layer and is typically used for animal feed.,Flint maize
what is root rot disease.," This is a fungal disease that causes the roots of the cassava plant to rot, leading to stunted growth and reduced yield"
what is harvesting,It involves removing the mature crops from the field and preparing them for storage or transport
"which pest feed on the sap of the bean plant, causing stunting and distortion of the leaves",Bean aphids (Aphis fabae)
What are the ideal storage conditions for maize to prevent mold growth and insect infestation?,temperatures between 10-15�C
what food products can be made from corn meal.,"tortillas, bread, porridge, and other baked goods"
which type of fertilizer helps plants resist stress and disease and improve overall plant vigor.,Potassium Fertilizers
In what ways can farmers manage maize streak disease.,"Planting resistant or tolerant maize varieties that have been developed through breeding programs.
Practicing good weed control, as certain weed species can serve as alternative hosts for the virus and leafhoppers.
Implementing integrated pest management strategies to control leafhopper populations, such as using insecticides or employing physical barriers.
Proper crop rotation and maintaining good agronomic practices to enhance plant health and reduce disease pressure.
Removing and destroying infected plants and plant debris to reduce the source of the virus.
It is essential for farmers to work closely with agricultural extension services and research institutions to access information on resistant varieties, disease management strategies, and early warning systems for maize streak disease in their specific region."
which variety was recommended for Northern region with shorter rains.,White Star
which variety is popular in north and tolerant to drought.,Albert
why do farmers don not like stake method of planting.,it requires more labor and resources to establish the nursery bed
name working animals that have been used to cultivate fields.,"horses, mules, oxen, water buffalo, camels, llamas, alpacas, donkeys, and dogs"
name any other way of storing cassava.,Use proper containers
"what conditions can accelerate the breakdown of active ingredients in pesticides, reducing their effectiveness","extreme temperatures, moisture, and sunlight"
which variety is known for its high starch content and good processing qualities.,M Col 22
what is Livestock management.,"involves taking care of different animals that are raised for various purposes, such as meat, milk, wool, and eggs."
why should farmers intercrop maize with beans.,"Maize and beans are commonly intercropped in Kiboga because they have complementary nutrient requirements and growth habits. Beans can fix nitrogen from the atmosphere, which can benefit the maize crop."
Which crops are most susceptible to armyworm infestation in Uganda?,"maize, sorghum, millet, and rice"
how can i define precision agriculture?, Precision agriculture is the use of technology to optimize crop production and reduce waste
Which U.S. states are the biggest farm states?,California 
what is Tillage.," is the practice of breaking up the soil with tools such as the plow or harrow to prepare for planting, for nutrient incorporation, or for pest control."
what is Generation.,"he number of times or seasons a seed crop has been exposed to the natural crop
growing environment"
why is seed priming done.,to enhance germination and early seedling growth.
what causes plant diseases?,"variety of pathogens, including fungi, bacteria, viruses, and nematodes"
which type of cancer are high among agricultural workers.,"Leukemia, Non?Hodgkin lymphoma and skin cancer "
what are other pest management practices that can be used to manage mealybug infestations.,"the use of resistant varieties, maintaining proper plant nutrition and moisture levels, and minimizing weed growth around the cassava plants."
which maize variety has a maturity of 80 days.,PHB 3253
Why are crops sprayed with pesticides?,"to protect crops from insect pests, weeds, and fungal diseases while they are growing"
what happens during biological nitrogen fixation?,convert biologically unavailable atmospheric nitrogen gas (N2) to biologically available ammonium (NH+4)
why do cassava propagated through stem cuttings matures faster compared to seed propagation.,This is because the stem cuttings already have a head start in development and can quickly establish roots and start growing.
how can planting Green manure cover crops helps increase soil fertility.,"Planting leguminous crops such as clover, alfalfa or beans, can help fix nitrogen into the soil and add organic matter, thus improving soil fertility."
what processes are involved during harvest phase of  Food Supply Continuum,"harvesting the meat, fruit, vegetable or food product and processing it into a usable form"
what the several challenges facing cassava production.,"pests and diseases, low yields, and limited access to markets and processing facilities"
what is hay,"(dried grasses) to feed livestock (horses, cattle, sheep) during the winter when they cannot feed in green pastures"
how does nutrient leaching affects cassava yield.,"Wetland soils are prone to nutrient leaching due to excessive water movement. The continuous flow of water can carry away essential nutrients from the soil, making them unavailable to cassava plants. Nutrient deficiencies can negatively impact plant growth, development, and overall productivity."
which family does the African armyworm belongs to.,Noctuidae
What are the symptoms of cassava mosaic,"Leaves leaves become distorted and yellow, Poor formation of tubers, The plants is stumted, Mosaic mottling,mishapen and twisted leaflets and reduction in size of leaves"
What is the best way to store harvested wheat to prevent spoilage?,Harvested wheat should be stored carefully to prevent spoilage and maintain quality
What are the problems facing farming organization in uganda?,"Limited access to finance: Many farming organizations in Uganda lack access to finance, which makes it difficult for them to invest in modern farming technologies, hire skilled workers, and expand their operations.

Limited access to markets: Many small-scale farmers in Uganda struggle to access markets to sell their products, which can result in low prices and limited income.

Climate change: Uganda is vulnerable to climate change, which can have a negative impact on crop yields and overall agricultural productivity.

Pest and disease outbreaks: Uganda has experienced several pest and disease outbreaks in recent years, such as the Fall Armyworm and Banana Bacterial Wilt, which can significantly reduce crop yields and income.

Limited access to extension services: Many farmers in Uganda lack access to extension services and technical assistance, which can limit their ability to adopt modern farming technologies and improve their farming practices.

Land tenure insecurity: Land tenure insecurity is a common challenge in Uganda, particularly for small-scale farmers, which can limit their ability to invest in their farms and access credit.

Poor infrastructure: Poor infrastructure, including inadequate roads, storage facilities, and irrigation systems, can limit the ability of farming organizations in Uganda to transport their products, store them properly, and irrigate their crops during dry spells."
why are dressing chemicals called systemic? ,they are absorbed by the seedling and provide protection against insect pests for a period of time.
How can local farmers determine the acidity of the soil? ,"Farmers can determine the acidity of the soil by conducting a soil pH test. There are various ways to do this, but one common method is to use a soil pH test kit, which can be purchased at agricultural supply stores or online. The kit typically includes a test tube, pH indicator solution, and a color chart."
Name the crops that can be successfully grown in sandy soil,"Sweet potatoes
Carrots
Peppers
Tomatoes
Watermelons
Pineapples
Cucumbers
Okra"
What are the factors affecting response of crops to fertilizers,Soil type and properties
which crop disease cause yellowing in beans plants., bacterial blight and aphids
what is Tillage.," is the practice of breaking up the soil with tools such as the plow or harrow to prepare for planting, for nutrient incorporation, or for pest control."
why cassava widely grown?,its ability to thrive in poor soils and withstand drought
name the application of the cassava glue.,"paper mache, bookbinding, and woodworking"
which variety is popular in north and tolerant to drought.,Albert
how does neem oil works as pesticide.," It works by disrupting the feeding and reproductive systems of insect pests. Neem oil is effective against a range of pests that attack bean leaves, including aphids, bean beetles, and whiteflies."
"which fertilizer is often used as a basal or pre-planting fertilizer, and it can also be used as a top dressing fertilizer during the growing season.",NPK 
which kind of threshing is the most common in developing countries.,Manual threshing
what are the different methods of pest management?,"biological control, cultural control, and chemical contro"
which key districts produces maize in uganda?,"Masindi, Kapchorwa, Kasese, Jinja, Kabarole and Mbale"
Name the cultural pest control practicies.,"crop rotation, culling, cover crops, intercropping, composting, avoidance, and resistance"
how do you define organic?,"a labeling term that indicates that the food or other agricultural product has been produced through approved methods that integrate cultural, biological and mechanical practices that foster cycling of resources, promote biological balance and conserve biodiversity"
what is top-dressing?,op-dressing involves applying fertilizer on the soil surface around the base of the bean plants after the first weeding. This method allows the fertilizer to be directly available to the plants' roots and can improve nutrient uptake and yield.
Can I eat healthy without spending a lot of money?,es. Food in the United States is very affordable
How can i know that soil lacks air as a major nutrient,"To determine whether soil lacks air, you can perform a simple test called the squeeze test. Take a handful of soil and squeeze it tightly in your hand. If the soil remains in a tight ball and does not crumble, it may indicate that the soil is too compacted and lacks adequate air. Another indicator of soil lacking air is the presence of waterlogged areas or standing water after rain or irrigation."
"in order to guard against drought, farmers should invest in soil conservation measures to improve soil health and water-holding capacity. They can use techniques such as?","conservation tillage practices, crop rotation, cover cropping, and mulching to reduce soil erosion, increase organic matter, and improve water infiltration"
how does S. exempta reduce the risk of SpexNPV,via density-dependent prophylaxis
Can beans still be planted in October this year in amolatar?,"In Amolatar, which is located in Northern Uganda, October is generally considered the end of the rainy season and the beginning of the dry season. However, with the changing climate, it is difficult to predict weather patterns accurately. It is possible to plant beans in October if there is still enough soil moisture, either from the remaining rains or from irrigation. "
what causes hunger?,poverty
why should farmers implement disease prevention strategies., to prevent the spread of disease among their livestock
How many cuttings of cassava should a farmer plant in one hectare?,"The number of cassava cuttings to plant per hectare can vary depending on several factors, including the cassava variety, spacing, and planting method. However, as a general guideline, farmers typically plant between 10,000 to 12,000 cassava cuttings per hectare."
define what a seed class is?,"The categorization of seed according to genetic purity and quality standards. The seed
classes adopted in these guidelines are Nuclear stock, Basic seed, Certified 1, Certified 2 and QDS."
what is depth of the soil for planting maize.,"make an estimate of about 5-7 cm deep, and you can make the holes deeper for dry planting and sandy soil."
Which type of seed is resistant to pests and diseases,"Hybrid seeds: Hybrid seeds are produced by cross-breeding two or more distinct plant varieties to create a new variety with desirable traits, such as disease and pest resistance.

Genetically modified (GM) seeds: GM seeds have been genetically altered to express certain traits, such as resistance to specific pests or diseases. For example, Bt (Bacillus thuringiensis) maize has been genetically modified to produce a protein toxic to certain insect pests.

Heirloom or heritage seeds: Heirloom or heritage seeds are non-hybrid seeds that have been passed down from generation to generation, often for centuries. These seeds have developed natural resistance to local pests and diseases over time.

Open-pollinated seeds: Open-pollinated seeds are non-hybrid seeds that have been pollinated by natural means, such as wind or insects. These seeds can be genetically diverse and may exhibit natural resistance to pests and diseases."
